CountryName,Year,Population
AFW,2011,1862.308267
AFW,2012,1965.118485
AFW,2013,2157.481149
AFW,2014,2212.853135
AFW,2015,1894.310195
AFW,2016,1673.835527
AFW,2017,1613.473553
AFW,2018,1704.139603
AFW,2019,1777.918672
AFW,2020,1710.073363
AGO,1960,
AGO,1961,
AGO,1962,
AGO,1963,
AGO,1964,
AGO,1965,
AGO,1966,
AGO,1967,
AGO,1968,
AGO,1969,
AGO,1970,
AGO,1971,
AGO,1972,
AGO,1973,
AGO,1974,
AGO,1975,
AGO,1976,
AGO,1977,
AGO,1978,
AGO,1979,
AGO,1980,711.4095786
AGO,1981,642.7681968
AGO,1982,620.3331234
AGO,1983,623.8153624
AGO,1984,638.0990068
AGO,1985,758.7450632
AGO,1986,685.7281277
AGO,1987,756.7679262
AGO,1988,792.8330172
AGO,1989,891.1492803
AGO,1990,948.338178
AGO,1991,
AGO,1992,
AGO,1993,
AGO,1994,251.0783484
AGO,1995,398.7909982
AGO,1996,522.6796243
AGO,1997,514.3851744
AGO,1998,423.619049
AGO,1999,387.7851241
AGO,2000,556.8386317
AGO,2001,527.3335285
AGO,2002,872.4944418
AGO,2003,982.9610078
AGO,2004,1255.564513
AGO,2005,1902.42215
AGO,2006,2599.565948
AGO,2007,3121.996085
AGO,2008,4080.941034
AGO,2009,3122.781599
AGO,2010,3587.883645
AGO,2011,4615.468219
AGO,2012,5100.097027
AGO,2013,5254.881126
AGO,2014,5408.4117
AGO,2015,4166.979833
AGO,2016,3506.073128
AGO,2017,4095.810057
AGO,2018,3289.643995
AGO,2019,2809.626088
AGO,2020,1776.166868
ALB,1960,
ALB,1961,
ALB,1962,
ALB,1963,
ALB,1964,
ALB,1965,
ALB,1966,
ALB,1967,
ALB,1968,
ALB,1969,
ALB,1970,
ALB,1971,
ALB,1972,
ALB,1973,
ALB,1974,
ALB,1975,
ALB,1976,
ALB,1977,
ALB,1978,
ALB,1979,
ALB,1980,
ALB,1981,
ALB,1982,
ALB,1983,
ALB,1984,639.4847358
ALB,1985,639.8659094
ALB,1986,693.8734746
ALB,1987,674.7933831
ALB,1988,652.7743214
ALB,1989,697.9955966
ALB,1990,617.2304355
ALB,1991,336.5869945
ALB,1992,200.8522198
ALB,1993,367.2792251
ALB,1994,586.4163396
ALB,1995,750.6044492
ALB,1996,1009.977275
ALB,1997,717.3800477
ALB,1998,813.7893966
ALB,1999,1033.242532
ALB,2000,1126.68334
ALB,2001,1281.659826
ALB,2002,1425.124219
ALB,2003,1846.120121
ALB,2004,2373.581292
ALB,2005,2673.786584
ALB,2006,2972.742924
ALB,2007,3595.038057
ALB,2008,4370.539925
ALB,2009,4114.134899
ALB,2010,4094.348386
ALB,2011,4437.142612
ALB,2012,4247.630047
ALB,2013,4413.062005
ALB,2014,4578.633208
ALB,2015,3952.802538
ALB,2016,4124.05539
ALB,2017,4531.019374
ALB,2018,5287.663694
ALB,2019,5395.659532
ALB,2020,5246.292306
AND,1960,
AND,1961,
AND,1962,
AND,1963,
AND,1964,
AND,1965,
AND,1966,
AND,1967,
AND,1968,
AND,1969,
AND,1970,3238.690261
AND,1971,3496.532023
AND,1972,4218.271599
AND,1973,5342.16856
AND,1974,6320.809632
AND,1975,7169.101006
AND,1976,7151.249909
AND,1977,7751.843307
AND,1978,9127.81228
AND,1979,11818.47334
AND,1980,12378.78451
AND,1981,10372.78605
AND,1982,9610.020616
AND,1983,8025.207641
AND,1984,7728.906695
AND,1985,7775.614217
AND,1986,10361.14777
AND,1987,12615.12618
AND,1988,14304.6406
AND,1989,15165.28126
AND,1990,18878.85231
AND,1991,19534.26363
AND,1992,20549.80558
AND,1993,16515.6584
AND,1994,16235.06804
AND,1995,18458.17399
AND,1996,19016.28819
AND,1997,18355.62786
AND,1998,18895.11066
AND,1999,19262.30899
AND,2000,21854.2468
AND,2001,22970.51221
AND,2002,25067.24006
AND,2003,32272.84589
AND,2004,37966.18725
AND,2005,40064.22493
AND,2006,42674.75897
AND,2007,47804.84993
AND,2008,48719.65877
AND,2009,43504.21565
AND,2010,40850.24814
AND,2011,43334.81141
AND,2012,38686.46126
AND,2013,39540.72481
AND,2014,41303.92937
AND,2015,35770.7767
AND,2016,37475.63506
AND,2017,38964.90448
AND,2018,41791.96984
AND,2019,40897.33087
AND,2020,
ARB,1960,
ARB,1961,
ARB,1962,
ARB,1963,
ARB,1964,
ARB,1965,
ARB,1966,
ARB,1967,
ARB,1968,304.7441346
ARB,1969,322.840971
ARB,1970,354.9909935
ARB,1971,398.9728756
ARB,1972,462.6443016
ARB,1973,571.0797919
ARB,1974,1052.504147
ARB,1975,1129.764163
ARB,1976,1363.325658
ARB,1977,1524.614
ARB,1978,1619.541378
ARB,1979,2130.881819
ARB,1980,2792.087236
ARB,1981,2798.615642
ARB,1982,2547.473539
ARB,1983,2322.666931
ARB,1984,2289.369659
ARB,1985,2217.230495
ARB,1986,2097.206632
ARB,1987,2216.359654
ARB,1988,2043.260426
ARB,1989,2096.301403
ARB,1990,2796.699977
ARB,1991,1918.346328
ARB,1992,2033.963932
ARB,1993,2017.938575
ARB,1994,2068.778441
ARB,1995,2196.978885
ARB,1996,2371.452601
ARB,1997,2501.050758
ARB,1998,2381.994879
ARB,1999,2579.122064
ARB,2000,2890.227674
ARB,2001,2768.502103
ARB,2002,2725.609752
ARB,2003,2948.632623
ARB,2004,3430.98291
ARB,2005,4120.842157
ARB,2006,4754.768854
ARB,2007,5418.134763
ARB,2008,6661.484068
ARB,2009,5695.887676
ARB,2010,6512.541558
ARB,2011,6888.979416
ARB,2012,7378.23189
ARB,2013,7373.201678
ARB,2014,7300.030219
ARB,2015,6220.716636
ARB,2016,5969.616593
ARB,2017,5987.341957
ARB,2018,6504.148493
ARB,2019,6489.043216
ARB,2020,5612.68657
ARE,1960,
ARE,1961,
ARE,1962,
ARE,1963,
ARE,1964,
ARE,1965,
ARE,1966,
ARE,1967,
ARE,1968,
ARE,1969,
ARE,1970,
ARE,1971,
ARE,1972,
ARE,1973,
ARE,1974,
ARE,1975,26848.08818
ARE,1976,30117.94893
ARE,1977,33823.18166
ARE,1978,28457.07803
ARE,1979,33512.63342
ARE,1980,42764.54056
ARE,1981,44987.53799
ARE,1982,40025.82262
ARE,1983,34843.15963
ARE,1984,32309.83271
ARE,1985,29720.89772
ARE,1986,23467.87932
ARE,1987,23726.30705
ARE,1988,22295.11871
ARE,1989,24028.2625
ARE,1990,27729.39059
ARE,1991,26612.25311
ARE,1992,26420.85988
ARE,1993,25596.73939
ARE,1994,25848.01625
ARE,1995,27221.93441
ARE,1996,28975.07996
ARE,1997,29512.67479
ARE,1998,26899.60177
ARE,1999,28470.88586
ARE,2000,33291.36625
ARE,2001,31280.75586
ARE,2002,31567.54631
ARE,2003,33499.10278
ARE,2004,36333.18733
ARE,2005,39365.45964
ARE,2006,41907.42147
ARE,2007,41809.46216
ARE,2008,44498.94051
ARE,2009,32024.19778
ARE,2010,33893.26387
ARE,2011,39194.67224
ARE,2012,40976.49075
ARE,2013,42412.6395
ARE,2014,43751.80565
ARE,2015,38663.4005
ARE,2016,38141.86713
ARE,2017,40644.79119
ARE,2018,43839.32449
ARE,2019,42701.44305
ARE,2020,36284.55524
ARG,1960,
ARG,1961,
ARG,1962,1155.890717
ARG,1963,850.3045786
ARG,1964,1173.238105
ARG,1965,1279.113778
ARG,1966,1272.803204
ARG,1967,1062.543412
ARG,1968,1141.080432
ARG,1969,1329.058546
ARG,1970,1322.590638
ARG,1971,1372.374174
ARG,1972,1408.86538
ARG,1973,2097.02283
ARG,1974,2844.863312
ARG,1975,2027.337202
ARG,1976,1948.224686
ARG,1977,2129.708361
ARG,1978,2146.364959
ARG,1979,2520.920716
ARG,1980,2758.834817
ARG,1981,2776.322088
ARG,1982,2927.897357
ARG,1983,3553.377509
ARG,1984,2659.708242
ARG,1985,2926.126485
ARG,1986,3613.621709
ARG,1987,3562.876059
ARG,1988,3985.192469
ARG,1989,2383.867471
ARG,1990,4333.483372
ARG,1991,5735.359981
ARG,1992,6823.538837
ARG,1993,6969.119729
ARG,1994,7483.140334
ARG,1995,7408.708664
ARG,1996,7721.354105
ARG,1997,8213.125127
ARG,1998,8289.507568
ARG,1999,7774.736203
ARG,2000,7708.099115
ARG,2001,7208.373114
ARG,2002,2593.404563
ARG,2003,3349.8063
ARG,2004,4277.721573
ARG,2005,5109.852245
ARG,2006,5919.012338
ARG,2007,7245.446857
ARG,2008,9020.873323
ARG,2009,8225.137583
ARG,2010,10385.96443
ARG,2011,12848.8642
ARG,2012,13082.66433
ARG,2013,13080.25473
ARG,2014,12334.79825
ARG,2015,13789.06042
ARG,2016,12790.24247
ARG,2017,14613.04182
ARG,2018,11795.15939
ARG,2019,10056.63794
ARG,2020,8579.017773
ARM,1960,
ARM,1961,
ARM,1962,
ARM,1963,
ARM,1964,
ARM,1965,
ARM,1966,
ARM,1967,
ARM,1968,
ARM,1969,
ARM,1970,
ARM,1971,
ARM,1972,
ARM,1973,
ARM,1974,
ARM,1975,
ARM,1976,
ARM,1977,
ARM,1978,
ARM,1979,
ARM,1980,
ARM,1981,
ARM,1982,
ARM,1983,
ARM,1984,
ARM,1985,
ARM,1986,
ARM,1987,
ARM,1988,
ARM,1989,
ARM,1990,637.8559212
ARM,1991,590.5058756
ARM,1992,369.7072323
ARM,1993,357.2028486
ARM,1994,400.5155938
ARM,1995,456.3749333
ARM,1996,504.0598426
ARM,1997,523.2844107
ARM,1998,609.1716537
ARM,1999,597.4328988
ARM,2000,622.7409229
ARM,2001,694.4234554
ARM,2002,783.241215
ARM,2003,930.1254727
ARM,2004,1191.921006
ARM,2005,1643.756889
ARM,2006,2158.148074
ARM,2007,3139.28071
ARM,2008,4010.861381
ARM,2009,2994.340471
ARM,2010,3218.378299
ARM,2011,3525.807198
ARM,2012,3681.844691
ARM,2013,3838.17388
ARM,2014,3986.231624
ARM,2015,3607.289299
ARM,2016,3591.828052
ARM,2017,3914.527854
ARM,2018,4220.540321
ARM,2019,4604.646324
ARM,2020,4266.018074
ASM,1960,
ASM,1961,
ASM,1962,
ASM,1963,
ASM,1964,
ASM,1965,
ASM,1966,
ASM,1967,
ASM,1968,
ASM,1969,
ASM,1970,
ASM,1971,
ASM,1972,
ASM,1973,
ASM,1974,
ASM,1975,
ASM,1976,
ASM,1977,
ASM,1978,
ASM,1979,
ASM,1980,
ASM,1981,
ASM,1982,
ASM,1983,
ASM,1984,
ASM,1985,
ASM,1986,
ASM,1987,
ASM,1988,
ASM,1989,
ASM,1990,
ASM,1991,
ASM,1992,
ASM,1993,
ASM,1994,
ASM,1995,
ASM,1996,
ASM,1997,
ASM,1998,
ASM,1999,
ASM,2000,
ASM,2001,
ASM,2002,8666.655382
ASM,2003,8807.462812
ASM,2004,8528.248777
ASM,2005,8395.31877
ASM,2006,8340.52344
ASM,2007,8874.877928
ASM,2008,9740.824491
ASM,2009,11910.01323
ASM,2010,10216.81763
ASM,2011,10223.29836
ASM,2012,11496.5241
ASM,2013,11450.7242
ASM,2014,11525.15639
ASM,2015,12059.63516
ASM,2016,12038.2497
ASM,2017,11003.82976
ASM,2018,11521.60978
ASM,2019,11715.36014
ASM,2020,12844.90099
ATG,1960,
ATG,1961,
ATG,1962,
ATG,1963,
ATG,1964,
ATG,1965,
ATG,1966,
ATG,1967,
ATG,1968,
ATG,1969,
ATG,1970,
ATG,1971,
ATG,1972,
ATG,1973,
ATG,1974,
ATG,1975,
ATG,1976,
ATG,1977,1246.69016
ATG,1978,1416.540531
ATG,1979,1760.831324
ATG,1980,2124.618526
ATG,1981,2392.686958
ATG,1982,2660.558091
ATG,1983,2948.317275
ATG,1984,3372.60207
ATG,1985,3899.39184
ATG,1986,4703.179401
ATG,1987,5463.595383
ATG,1988,6454.835451
ATG,1989,7076.536335
ATG,1990,7347.646369
ATG,1991,7602.345334
ATG,1992,7745.7218
ATG,1993,8136.188547
ATG,1994,8771.143727
ATG,1995,8406.358945
ATG,1996,9030.574978
ATG,1997,9491.660766
ATG,1998,9940.852228
ATG,1999,10260.59941
ATG,2000,10872.29295
ATG,2001,10367.31961
ATG,2002,10401.05088
ATG,2003,10797.95106
ATG,2004,11446.96914
ATG,2005,12557.54785
ATG,2006,13995.80442
ATG,2007,15622.69287
ATG,2008,16044.1058
ATG,2009,14160.562
